,ID,Title,Summary,Link,Published
0,1,New Strawberry-Flavored H.I.V. Drugs for Babies Are Offered at $1 a Day,"Thousands of infants are doomed to early deaths each year, in part because pediatric medicines come in hard pills or bitter syrups that need refrigeration.",https://www.nytimes.com/2019/11/29/health/AIDS-drugs-children.html,29/11/2019
1,2,Iraq Prime Minister Says He Will Resign Amid Protests,The announcement comes after demonstrators set fire to the Iranian Consulate and the death of hundreds in violent antigovernment unrest.,https://www.nytimes.com/2019/11/29/world/middleeast/iraq-prime-minister-mahdi-resign.html,29/11/2019
2,3,"Brad Gobright, Renowned Rock Climber, Is Dead After Fall in Mexico","The American free solo climber, one of the world’s best, fell nearly 1,000 feet on Wednesday. He was 31.",https://www.nytimes.com/2019/11/29/world/americas/brad-gobright-free-solo-climber.html,29/11/2019
3,4,"Afghanistan, Black Friday, Pete Buttigieg: Your Friday Briefing",Here's what you need to know.,https://www.nytimes.com/2019/11/29/briefing/afghanistan-black-friday-pete-buttigieg.html,29/11/2019
4,5,"Warming Waters, Moving Fish: How Climate Change Is Reshaping Iceland","Ocean temperatures are on the rise and warming waters are causing fish to swim for their lives, causing financial disruption and international conflicts.",https://www.nytimes.com/2019/11/29/climate/climate-change-ocean-fish-iceland.html,29/11/2019
5,6,"News Quiz: Richard Spencer, Uber, Thanksgiving",Did you stay up-to-date this week?,https://www.nytimes.com/interactive/2019/11/29/briefing/richard-spencer-uber-thanksgiving-news-quiz.html,29/11/2019
6,7,Espionage and Interference? Australia Grapples With Its China Relationship,"This talk of Australia this week was China, after revelations that a businessman said Chinese agents sought to implant him in Parliament and other espionage allegations raised questions about foreign interference.",https://www.nytimes.com/2019/11/29/world/australia/china-espionage-interference.html,29/11/2019
7,8,Maltese Businessman Accuses Top Government Officials in Murder of Journalist,"Yorgen Fenech, who was arrested in connection with the killing, promised to supply information related to several people “close to the prime minister” if pardoned.",https://www.nytimes.com/2019/11/28/world/europe/malta-prime-minister-journalist-murder.html,28/11/2019
8,9,Ice Sculpture Steals Show at U.K. Climate Debate That Boris Johnson Skips,"A melting block of sculpted ice stood in for a missing prime minister at a televised debate, infuriating Conservatives.",https://www.nytimes.com/2019/11/28/world/europe/ice-sculpture-uk-debate.html,28/11/2019
9,10,"Love Conquers All in Italy’s Parliament, at Least for One Day","In a surprise move, an Italian lawmaker proposed to his girlfriend ahead of a discussion in the normally volatile lower house.",https://www.nytimes.com/2019/11/28/world/europe/italy-parliament-proposal.html,28/11/2019
0,11,Officials close schools in Iranian capital because of smog,"<p><a href=""https://news.yahoo.com/officials-close-schools-iranian-capital-155524153.html""><img src="""" width=""130"" height=""86"" alt=""Officials close schools in Iranian capital because of smog"" align=""left"" title=""Officials close schools in Iranian capital because of smog"" border=""0"" ></a>Iran’s state-run IRNA news agency reports that authorities in the capital Tehran have decided to close down all kindergartens, schools and universities because of high levels of air pollution.  The Friday report quotes Tehran Province Deputy Gov. Mohammad Taghiizade as saying a special committee made the decision following days of high air pollution levels that are expected to get higher on Saturday, the first working day of the week in Iran.<p><br clear=""all"">",https://news.yahoo.com/officials-close-schools-iranian-capital-155524153.html,29/11/2019
